Model,Accuracy,Precision,Recall (Sensitivity),Specificity,F1 Score,ROC AUC
Step 10 MobileNetV2 (Frozen),0.667910447761194,0.5879828326180258,0.6255707762557078,0.6971608832807571,0.6061946902654868,0.7414545611684888
Step 11 MobileNetV2 (Fine-tuned),0.6809701492537313,0.5833333333333334,0.7671232876712328,0.6214511041009464,0.6627218934911243,0.7586534721922129
