Model,Accuracy,Precision,Recall,Specificity,F1-Score,ROC_AUC,Recall (Sensitivity),F1 Score,ROC AUC
MobileNetV2 Class-Weighted (Step 13),0.6437,0.5551,0.6438,0.6435,0.5962,0.714,,,
MobileNetV2 Class-Weighted,0.6437,0.5551,,0.6435,,,0.6438,0.5962,0.714
