Threshold,Accuracy,Precision,Recall,Specificity,F1 Score,TN,FP,FN,TP,Confusion Matrix
0.2,0.5802238805970149,0.4928909952606635,0.9497716894977168,0.3249211356466877,0.6489859594383776,103,214,11,208,"[[103, 214], [11, 208]]"
0.3,0.6138059701492538,0.5157894736842106,0.8949771689497716,0.4195583596214511,0.654424040066778,133,184,23,196,"[[133, 184], [23, 196]]"
0.4,0.6380597014925373,0.5384615384615384,0.7990867579908676,0.526813880126183,0.6433823529411765,167,150,44,175,"[[167, 150], [44, 175]]"
0.5,0.6436567164179104,0.5551181102362205,0.6438356164383562,0.6435331230283912,0.5961945031712473,204,113,78,141,"[[204, 113], [78, 141]]"
0.6,0.6380597014925373,0.5757575757575758,0.4337899543378995,0.7791798107255521,0.4947916666666667,247,70,124,95,"[[247, 70], [124, 95]]"
0.7,0.6417910447761194,0.68,0.2328767123287671,0.9242902208201893,0.3469387755102041,293,24,168,51,"[[293, 24], [168, 51]]"
