Model,Threshold,AUC,AUC 95% CI,Accuracy,Precision,Recall,Specificity,F1
"MobileNetV2 (final, class-weighted)",0.4,0.7139996831021419,"[0.6702, 0.7572]",0.6380597014925373,0.5384615384615384,0.7990867579908676,0.526813880126183,0.6433823529411765
EfficientNetB0 (baseline),0.4,0.5424787174279417,NR,0.4085820895522388,0.4085820895522388,1.0,0.0,0.5801324503311258
